***** DESCRIPTION ***********;
all o2 units from pst3v602 software;

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1214741;
PM number         : 20101380;
Serial number     : FB3-AOT-03-674      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 052;
Ref LED amplitude : 98410;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 22.1 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 60.07 at 014.7°C amp 056800;
100.00%a.s.phase 2: 28.56 at 015.3°C amp 026300;
Date   (ddmmyy)   : 121114;
Pressure (mBar)   : 1013;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
19/01/15;
10:08:28 AM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 10:08:28 AM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/°; amp; temp/°C; ErrorMessage;
19/01/15;   10:08:28;       0.000; 119.808;   25.85;    1905;   19.50; E0;
19/01/15;   10:08:29;       0.015; 120.189;   25.82;    1918;   19.50; E0;
19/01/15;   10:08:30;       0.031; 121.045;   25.74;    1925;   19.50; E0;
19/01/15;   10:08:31;       0.048; 121.252;   25.73;    1930;   19.50; E0;
19/01/15;   10:08:32;       0.065; 121.669;   25.69;    1912;   19.50; E0;
19/01/15;   10:08:33;       0.082; 121.758;   25.69;    1905;   19.50; E0;
19/01/15;   10:08:34;       0.099; 120.660;   25.78;    1911;   19.50; E0;
19/01/15;   10:08:35;       0.116; 120.926;   25.76;    1905;   19.50; E0;
19/01/15;   10:08:36;       0.133; 120.483;   25.79;    1898;   19.50; E0;
19/01/15;   10:08:37;       0.150; 119.955;   25.84;    1898;   19.50; E0;
19/01/15;   10:08:38;       0.167; 119.779;   25.85;    1891;   19.50; E0;
19/01/15;   10:08:39;       0.184; 119.400;   25.88;    1892;   19.50; E0;
19/01/15;   10:08:40;       0.201; 119.516;   25.88;    1886;   19.50; E0;
19/01/15;   10:08:41;       0.218; 119.458;   25.88;    1905;   19.50; E0;
19/01/15;   10:08:42;       0.235; 118.704;   25.95;    1897;   19.50; E0;
19/01/15;   10:08:43;       0.252; 119.138;   25.91;    1899;   19.50; E0;
19/01/15;   10:08:44;       0.268; 118.559;   25.96;    1891;   19.50; E0;
19/01/15;   10:08:45;       0.285; 119.167;   25.91;    1899;   19.50; E0;
19/01/15;   10:08:46;       0.302; 119.779;   25.85;    1891;   19.50; E0;
19/01/15;   10:08:48;       0.319; 118.675;   25.95;    1898;   19.50; E0;
19/01/15;   10:08:49;       0.336; 119.138;   25.91;    1898;   19.50; E0;
19/01/15;   10:08:50;       0.353; 118.473;   25.96;    1905;   19.50; E0;
19/01/15;   10:08:51;       0.370; 118.790;   25.94;    1911;   19.50; E0;
19/01/15;   10:08:52;       0.387; 119.167;   25.90;    1911;   19.50; E0;
19/01/15;   10:08:53;       0.404; 119.429;   25.88;    1924;   19.50; E0;
19/01/15;   10:08:54;       0.421; 120.013;   25.83;    1912;   19.50; E0;
19/01/15;   10:08:55;       0.438; 119.516;   25.88;    1910;   19.50; E0;
19/01/15;   10:08:56;       0.455; 118.964;   25.92;    1916;   19.50; E0;
19/01/15;   10:08:57;       0.472; 119.051;   25.92;    1912;   19.50; E0;
19/01/15;   10:08:58;       0.489; 118.357;   25.97;    1923;   19.50; E0;
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
19/01/15;   10:08:59;       0.505; 338.164;   25.98;    1916;   19.50; E0;
19/01/15;   10:09:00;       0.522; 338.082;   25.98;    1916;   19.50; E0;
19/01/15;   10:09:01;       0.539; 338.000;   25.99;    1918;   19.50; E0;
19/01/15;   10:09:02;       0.556; 337.918;   25.99;    1923;   19.50; E0;
19/01/15;   10:09:03;       0.573; 342.600;   25.89;    1912;   19.40; E0;
19/01/15;   10:09:04;       0.590; 345.793;   25.79;    1918;   19.40; E0;
19/01/15;   10:09:05;       0.607; 344.192;   25.84;    1917;   19.40; E0;
19/01/15;   10:09:06;       0.624; 344.865;   25.82;    1905;   19.40; E0;
19/01/15;   10:09:07;       0.641; 341.599;   25.91;    1910;   19.40; E0;
19/01/15;   10:09:08;       0.658; 338.042;   26.02;    1929;   19.40; E0;
